product_offer_reference,shipment_type_key
offer425,in-center-service
offer426,in-center-service
offer427,in-center-service
offer428,in-center-service
offer429,in-center-service
offer430,in-center-service
offer431,in-center-service
offer432,in-center-service
offer433,in-center-service
offer434,in-center-service
offer435,in-center-service
offer436,in-center-service
offer437,in-center-service
offer438,in-center-service
offer439,in-center-service
offer440,in-center-service
POF00251,in-center-service
POF00252,in-center-service
POF00253,in-center-service
POF00254,in-center-service
POF00255,in-center-service
POF00256,in-center-service
POF00257,in-center-service
POF00258,in-center-service
POF00259,in-center-service
POF00260,in-center-service
POF00261,in-center-service
POF00262,in-center-service
POF00263,in-center-service
POF00264,in-center-service
POF00265,in-center-service
POF00266,in-center-service
POF00267,in-center-service
POF00268,in-center-service
POF00269,in-center-service
POF00270,in-center-service
POF00271,in-center-service
POF00272,in-center-service
POF00273,in-center-service
POF00274,in-center-service
POF00275,in-center-service
POF00276,in-center-service
POF00277,in-center-service
POF00278,in-center-service
POF00279,in-center-service
POF00280,in-center-service
POF00281,delivery
POF00282,delivery
POF00283,delivery
POF00284,delivery
POF00285,delivery
POF00286,delivery
POF00287,in-center-service
POF00288,in-center-service
POF00289,delivery
POF00290,delivery
POF00291,delivery
POF00292,delivery
POF00293,in-center-service
POF00294,in-center-service
POF00295,in-center-service
POF00146,in-center-service
POF00300,delivery
POF00301,delivery
POF00302,delivery
POF00303,delivery
POF00304,delivery
POF00305,delivery
POF00306,delivery
POF00307,delivery
POF00308,delivery
POF00309,delivery
POF00310,delivery
POF00311,delivery
POF00312,delivery
POF00313,delivery
POF00314,delivery
POF00315,delivery
POF00316,delivery
POF00317,delivery
POF00318,delivery
POF00319,delivery
POF00320,delivery
POF00321,delivery
POF00322,delivery
POF00323,delivery
POF00324,delivery
POF00325,delivery
POF00326,delivery
POF00327,delivery
POF00328,delivery
POF00329,delivery
POF00330,delivery
POF00331,delivery
POF00332,delivery
POF00333,delivery
POF00334,delivery
POF00335,delivery
POF00336,delivery
POF00337,delivery
POF00338,delivery
POF00339,delivery
POF00340,on-site-service
POF00341,in-center-service
POF00342,in-center-service
POF00343,in-center-service
POF00344,in-center-service
POF00345,in-center-service
POF00346,in-center-service
POF00347,in-center-service
POF00348,in-center-service
POF00349,in-center-service
POF00350,on-site-service
POF00351,in-center-service
POF00352,in-center-service
POF00353,in-center-service
POF00354,in-center-service
