product_offer_reference,shipment_type_key
offer425,in-center-service
offer426,in-center-service
offer427,in-center-service
offer428,in-center-service
offer429,in-center-service
offer430,in-center-service
offer431,in-center-service
offer432,in-center-service
offer433,in-center-service
offer434,in-center-service
offer435,in-center-service
offer436,in-center-service
offer437,in-center-service
offer438,in-center-service
offer439,in-center-service
offer440,in-center-service
POF00251,in-center-service
POF00252,in-center-service
POF00253,in-center-service
POF00254,in-center-service
POF00255,in-center-service
POF00256,in-center-service
POF00257,in-center-service
POF00258,in-center-service
POF00259,in-center-service
POF00260,in-center-service
POF00261,in-center-service
POF00262,in-center-service
POF00263,in-center-service
POF00264,in-center-service
POF00265,in-center-service
POF00266,in-center-service
POF00267,in-center-service
POF00268,in-center-service
POF00269,in-center-service
POF00270,in-center-service
POF00271,in-center-service
POF00272,in-center-service
POF00273,in-center-service
POF00274,in-center-service
POF00275,in-center-service
POF00276,in-center-service
POF00277,in-center-service
POF00278,in-center-service
POF00279,in-center-service
POF00280,in-center-service
POF00281,in-center-service
POF00282,in-center-service
POF00283,in-center-service
POF00284,in-center-service
POF00285,in-center-service
POF00286,in-center-service
POF00287,in-center-service
POF00288,in-center-service
POF00289,in-center-service
POF00290,in-center-service
POF00291,in-center-service
POF00292,in-center-service
POF00293,in-center-service
POF00294,in-center-service
POF00295,in-center-service
POF00146,in-center-service
