merchant_key,merchant_reference,merchant_name,registration_number,status,email,is_active,url.de_DE,url.en_US,is_open_for_relation_request
demo-restrictions-1,MER000001,Products Restrictions Merchant,1,approved,demo-restrictions-1@merchant.com,1,/en/merchant/demo-restrictions-1,/de/merchant/demo-restrictions-1,0
demo-prices-1,MER000002,Prices Merchant,2,approved,demo-prices-1@merchant.com,1,/en/merchant/demo-prices-1,/de/merchant/demo-prices-1,0
kudu-merchant-1,MER000003,Kudu Merchant,3,approved,kudu-merchant-1@merchant.com,1,/en/merchant/kudu-merchant-1,/de/merchant/kudu-merchant-1,0
oryx-merchant-1,MER000004,Oryx Merchant,4,approved,oryx-merchant-1@merchant.com,1,/en/merchant/oryx-merchant-1,/de/merchant/oryx-merchant-1,0
impala-merchant-1,MER000005,Impala Merchant,5,approved,impala@merchant.com,1,/en/merchant/impala-merchant-1,/de/merchant/impala-merchant-1,0
sugar-monster,MER000006,Sugar Monster,6,approved,sugar.monster@merchant.com,1,/de/merchant/sugar-monster,/en/merchant/sugar-monster,1
restrictions-merchant,MER000007,Restrictions Merchant,7,approved,restrictions@merchant.com,1,/de/merchant/restrictions-merchant,/en/merchant/restrictions-merchant,0
spryker,MERSPRYKER,Spryker,8,approved,info@spryker.com,1,/de/merchant/spryker,/en/merchant/spryker,0
MRC0001,MRC0001,"ThermoTech Solutions",70106574,approved,hi@thermotech.nl,1,/de/thermotechsolutions,/en/thermotechsolutions,1
MRC0002,MRC0002,"EcoHeat Systems",38948806,approved,thomas.becker@ecoheat-systems.de,1,/de/ecoheatsystems,/en/ecoheatsystems,0
MRC0003,MRC0003,"BoilerExperts Ltd",86111785,approved,ben.foster@boilerexpertsltd.com,1,/de/boilerexpertsltd,/en/boilerexpertsltd,0
MRC0004,MRC0004,"GreenSteam Supplies",92143492,approved,greta.lindqvist@greensteamsupplies.com,1,/de/greensteamsupplies,/en/greensteamsupplies,0
MRC0005,MRC0005,"Industrial Thermal Co",83149668,approved,ivo.petrov@industrialthermalco.com,1,/de/industrialthermalco,/en/industrialthermalco,0
